,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh
14,14,Mythreyi Naimisha Apartment,12.9451336,77.60296740000001,Apartments,"Adugodi, Bengaluru",3.279010295830552,3.133142322467828,,15,888
15,15,RAJA FOUR SQUARES,12.943662699999999,77.6106757,Apartments,"Adugodi, Bengaluru",3.085262059355747,2.722930737180447,,15,884
16,16,Sanjeevegowda,12.9408351,77.60999890000001,Apartments,"Adugodi, Bengaluru",2.76557765706339,2.429687200399512,,13,793
17,17,Comfort Benaka Appartments,12.9464945,77.60283620000001,Apartments,"Adugodi, Bengaluru",3.430633167286809,3.2768565656068507,,15,914
18,18,SLV Apartments -3,12.9360211,77.6090295,Apartments,"Adugodi, Bengaluru",2.2243918552835025,1.945272236172495,,15,872
19,19,Prema Nilaya Apartment,12.9406304,77.6080901,Apartments,"Adugodi, Bengaluru",2.733814399676565,2.463257912289394,,12,739
20,20,Panchavati-4 Apartment,12.942082699999998,77.6076924,Apartments,"Adugodi, Bengaluru",2.895372134594539,2.630181901869877,,13,761
21,21,Nirmala Niwas %237,12.944363800000001,77.60942879999999,Apartments,"Adugodi, Bengaluru",3.15305306136818,2.825978412107252,,15,876
22,22,Deepdarshan appartment,12.9425974,77.6136073,Apartments,"Adugodi, Bengaluru",3.015784064407807,2.567048319800501,,16,947
23,23,Esteem Splendor 1,12.9381227,77.6093822,Apartments,"Adugodi, Bengaluru",2.459918643617933,2.155341104377473,,12,715
24,24,Nagesh's Appartment,12.9446605,77.6082809,Apartments,"Adugodi, Bengaluru",3.182110307545839,2.887490496893815,,14,854
25,25,Crystal Rock Apartments,12.9368891,77.60903859999999,Apartments,"Adugodi, Bengaluru",2.3208283344333887,2.0360479510209832,,14,849
26,26,Ashritha Eeshan NZ Meadows Apartment,12.949352699999999,77.60377940000001,Apartments,"Adugodi, Bengaluru",3.730932754321355,3.5329118793267766,,16,959
27,27,"Samrudhi Nilaya, Audugodi",12.9444743,77.6089628,Apartments,"Adugodi, Bengaluru",3.163144627968354,2.8493335511170312,,14,861
28,28,Shanthi Nilaya Apartment,12.9406546,77.6084403,Apartments,"Adugodi, Bengaluru",2.7370002577244947,2.45439302337672,,12,726
29,29,ARINDAM,12.94308,77.6065167,Apartments,"Adugodi, Bengaluru",3.0100786716408816,2.776048397032421,,14,843
30,30,413 Apartment,12.9441879,77.6180995,Apartments,"Adugodi, Bengaluru",3.317536539632734,2.7580569704073965,,16,945
31,31,Samuthya Apartment,12.9402291,77.60832070000001,Apartments,"Adugodi, Bengaluru",2.689464123724017,2.413124583250422,,12,743
32,32,Kishan Apartment,12.9412741,77.607261,Apartments,"Adugodi, Bengaluru",2.806292815782447,2.559837600047281,,13,771
33,33,Lakshme Enclave,12.941675199999999,77.6082345,Apartments,"Adugodi, Bengaluru",2.8501236877156364,2.5694484350162674,,12,712
34,34,Saroja Pride,12.941054600000001,77.60773359999999,Apartments,"Adugodi, Bengaluru",2.7810186367006557,2.520139330095699,,12,740
35,35,S.G.Home,12.941562800000002,77.6079496,Apartments,"Adugodi, Bengaluru",2.837441977660985,2.56663868342409,,13,753
36,36,Adithya om enclave,12.9415073,77.6174647,Apartments,"Adugodi, Bengaluru",3.0137283926829,2.4541786763599975,,15,897
37,37,Prem Nest Near Basavanna temple,12.9432649,77.6092152,Apartments,"Adugodi, Bengaluru",3.0298807443421483,2.7121884846409503,,15,879
38,38,JV Residency,12.944071699999999,77.6091439,Apartments,"Adugodi, Bengaluru",3.119167757105212,2.801235697527655,,14,846
39,39,A. A. Center,12.9486249,77.60591140000001,Apartments,"Adugodi, Bengaluru",3.629349977938914,3.382055846117503,,14,858
40,40,Kenzo Enclave,12.9444739,77.6177055,Apartments,"Adugodi, Bengaluru",3.3337444476499694,2.7849839284364992,,17,995
41,41,Sudhir Residency,12.9410079,77.6077453,Apartments,"Adugodi, Bengaluru",2.775816264495994,2.5148123114015397,,13,753
42,42,Rani Residency,12.939498599999999,77.6088175,Apartments,"Adugodi, Bengaluru",2.6096624882507102,2.3195146687846075,,12,726
43,43,Nithya Lakshmi,12.943186099999998,77.6122493,Apartments,"Adugodi, Bengaluru",3.0539351545292974,2.6454984577829683,,15,919
44,44,Prestige St. John's Wood,12.930061199999999,77.6106751,Apartments,"Adugodi, Bengaluru",1.5865434832224554,1.2625453310514445,,9,541
45,45,Lakshmi Venkateshwara Nilaya,12.944329199999999,77.6098298,Apartments,"Adugodi, Bengaluru",3.151742419189736,2.8130814858439126,,15,892
46,46,Salarpuria Sapphire,12.944253699999999,77.60766720000001,Apartments,"Adugodi, Bengaluru",3.1367915616644,2.8617866092691555,,15,889
47,47,Savita Mansion,12.9403826,77.6031313,Apartments,"Adugodi, Bengaluru",2.755847869609548,2.6541368414474507,,15,886
48,48,Sai Krupa Apartments,12.9375149,77.6123378,Apartments,"Adugodi, Bengaluru",2.4345355875699464,2.019096963132407,,14,811
49,49,Rajeswari Nilaya,12.943033300000002,77.6069096,Apartments,"Adugodi, Bengaluru",3.0030143039739214,2.7571573478504123,,13,789
50,50,NDRI SRF COLONY,12.9456603,77.60750279999999,Apartments,"Adugodi, Bengaluru",3.293397857498269,3.0170059292531306,,14,856
51,51,Shetty's residence,12.940947099999999,77.6038879,Apartments,"Adugodi, Bengaluru",2.8035163062425843,2.670790287401527,,15,916
52,52,Krishna Apartment,12.9285032,77.61108259999999,Apartments,"Adugodi, Bengaluru",1.4266410343152196,1.0857950898384297,,7,425
53,53,Robert Home,12.943516800000001,77.607295,Apartments,"Adugodi, Bengaluru",3.0555062395413537,2.795192925678162,,13,799
54,54,Dixit%E2%80%99s Apartmet,12.9402192,77.6173703,Apartments,"Adugodi, Bengaluru",2.87593558587953,2.3106684060756026,,14,845
55,55,"F Block, Inside Adugodi Police Quaters",12.942457699999999,77.6128986,Apartments,"Adugodi, Bengaluru",2.985791249958773,2.5575586242327737,,14,831
56,56,"%2354, Sri Nivasa",12.9403055,77.6086993,Apartments,"Adugodi, Bengaluru",2.6989045521770723,2.4090875806066827,,12,748
57,57,Sri Laxmi Nivas,12.9404852,77.6082048,Apartments,"Adugodi, Bengaluru",2.7177740649797433,2.444075815274203,,12,745
58,58,My Home,12.943483800000001,77.6073078,Apartments,"Adugodi, Bengaluru",3.0518064962550318,2.791275788776192,,13,800
59,59,"A block, Inside Adugodi Police Quaters",12.9422784,77.6098442,Apartments,"Adugodi, Bengaluru",2.924335375095499,2.5898599960819464,,14,840
60,60,Sri Lakshmi Venkatesha Nilaya,12.942135,77.6068113,Apartments,"Adugodi, Bengaluru",2.9036263066448336,2.666350706243899,,13,777
61,61,Adugudi Police Quatres,12.9421763,77.6106432,Apartments,"Adugodi, Bengaluru",2.9204363633271333,2.5610584409808412,,13,784
62,62,Soram Residency,12.9404025,77.607674,Apartments,"Adugodi, Bengaluru",2.7085706143130097,2.4535803082982115,,13,775
63,63,Police QRS. ADUGODI,12.9397605,77.6120715,Apartments,"Adugodi, Bengaluru",2.674853441727542,2.270332183656936,,12,717
64,64,Amma's House,12.9443644,77.6094122,Apartments,"Adugodi, Bengaluru",3.153027887333582,2.8264352237458463,,15,876
65,65,"G Block, Inside Adugodi Police Quaters",12.9401179,77.6136537,Apartments,"Adugodi, Bengaluru",2.747568235630683,2.291603661134344,,12,742
66,66,Lijo Varghese,12.942069400000001,77.60716670000001,Apartments,"Adugodi, Bengaluru",2.8949733854503803,2.646724865242669,,13,767
67,67,Shri Shanta Narayana Nilayam,12.9415016,77.6069026,Apartments,"Adugodi, Bengaluru",2.832850576942944,2.5967429312821406,,13,775
68,68,Srinivasa Complex,12.941862800000001,77.6081249,Apartments,"Adugodi, Bengaluru",2.8708732141108486,2.5928594648009384,,12,723
69,69,Prakash ballari hvr,12.94487,77.6095,Apartments,"Adugodi, Bengaluru",3.2096654235037985,2.879308817137321,,15,895
70,70,AMC RESIDENCY,12.9446429,77.6076533,Apartments,"Adugodi, Bengaluru",3.180080996962237,2.9037583081478013,,15,881
71,71,CHIKKA POTHALAPPA NILAYA,12.9493644,77.6056664,Apartments,"Adugodi, Bengaluru",3.7130958619484002,3.4684569403587036,,15,882
72,72,Jordiie's Place,12.9403453,77.607679,Apartments,"Adugodi, Bengaluru",2.7022049690266816,2.4473945175285112,,13,777
73,73,PHC house,12.9407982,77.6039689,Apartments,"Adugodi, Bengaluru",2.785796299690433,2.6520524983726954,,15,910
74,74,Sai Balaji Residency,12.9267832,77.6099718,Apartments,"Adugodi, Bengaluru",1.214239898986226,0.9768888805357328,,6,333
75,75,Sipani classe 2,12.9405273,77.6190537,Apartments,"Adugodi, Bengaluru",2.977032650735152,2.3708454578431573,,13,806
76,76,Sri Venkateshwara Nilaya,12.9435282,77.60653470000001,Apartments,"Adugodi, Bengaluru",3.0597548247889534,2.822412935988296,,14,826
77,77,Vinod Raj's Home,12.940044199999999,77.60806540000002,Apartments,"Adugodi, Bengaluru",2.6686176668273074,2.402183782215781,,13,760
78,78,Sapthagiri Apartments,12.927683,77.611051,Apartments,"Adugodi, Bengaluru",1.3373921407647376,1.0043979562805365,,7,419
79,79,Koramangala,12.945122900000001,77.6171229,Apartments,"Adugodi, Bengaluru",3.3831334968490605,2.8512342560561907,,17,992
80,80,Bhagu halesh bro,12.942733,77.61264200000001,Apartments,"Adugodi, Bengaluru",3.0110724738754957,2.590748594613136,,14,820
81,81,Sree Vatsa Nilaya Apartments,12.927306199999999,77.6113865,Apartments,"Adugodi, Bengaluru",1.3068315247726718,0.9509359708351938,,7,433
82,82,Venkatarama Reddy. M Residence,12.9430851,77.608529,Apartments,"Adugodi, Bengaluru",3.0074009379286664,2.711331554875548,,15,885
83,83,Shanvi Apartment,12.9407744,77.6189205,Apartments,"Adugodi, Bengaluru",2.996413726073632,2.395335550730925,,15,871
84,84,Kishan Enclave,12.942947,77.6173935,Apartments,"Adugodi, Bengaluru",3.162088740784322,2.612697401340134,,16,934
85,85,Planet Pride,12.9439807,77.6102407,Apartments,"Adugodi, Bengaluru",3.1163271719557004,2.7663288936839168,,15,876
86,86,Yadav%E2%80%99s building,12.9446925,77.60719559999998,Apartments,"Adugodi, Bengaluru",3.186458921953733,2.92320326738416,,13,791
87,87,Salim Building,12.948908900000001,77.6047825,Apartments,"Adugodi, Bengaluru",3.6702366777425106,3.4499309823603794,,15,918
88,88,Lalithalaya Apartment,12.943257699999998,77.61860159999999,Apartments,"Adugodi, Bengaluru",3.2391713622024554,2.66258590796803,,16,982
89,89,John Vijay,12.9479075,77.61853459999999,Apartments,"Adugodi, Bengaluru",3.7244859857245745,3.1743331847943725,,16,956
90,90,Manik%E2%80%99s Apartment,12.9426918,77.6178359,Apartments,"Adugodi, Bengaluru",3.1512577281597998,2.5895048323439536,,16,963
91,91,Sobha Highland Hosur Bangalore,12.9415864,77.6072687,Apartments,"Adugodi, Bengaluru",2.840986025683754,2.59234860202939,,13,759
92,92,1BHK Apartments,12.9322131,77.61095040000001,Apartments,"Adugodi, Bengaluru",1.8272459896933126,1.4773335406769754,,8,474
93,93,Ajith sridhar,12.951584,77.60103199999999,Apartments,"Adugodi, Bengaluru",4.0219556544962725,3.8737792580878674,,18,1106
94,94,Ashwin Apartment,12.942925500000001,77.6187182,Apartments,"Adugodi, Bengaluru",3.209271367581951,2.627886353612487,,15,903
95,95,Comfort Sharada Apartment,12.9456996,77.5985749,Apartments,"Adugodi, Bengaluru",3.4499666686801995,3.414206123627127,,17,1011
96,96,"45 , 1 - Nicky%E2%80%99s ",12.940358,77.607714,Apartments,"Adugodi, Bengaluru",2.7035806762034857,2.447485415956586,,13,777
97,97,KUMAR N APARTMENTS,12.942216400000001,77.61881020000001,Apartments,"Adugodi, Bengaluru",3.1396965705875632,2.5515016330621667,,15,878
98,98,Tavarekere Apartment,12.9278183,77.61005379999999,Apartments,"Adugodi, Bengaluru",1.329092221632099,1.068982310950298,,7,419
99,99,Sri Sai PG,12.9362751,77.60878199999999,Apartments,"Adugodi, Bengaluru",2.251343759934703,1.9809837604028808,,15,872
100,100,Amma Nilaya,12.943304699999999,77.6189898,Apartments,"Adugodi, Bengaluru",3.259281742347834,2.674070360337418,,15,916
101,101,Sathya Apartments,12.9335385,77.60811890000001,Apartments,"Adugodi, Bengaluru",1.9452800561734738,1.7289044670104818,,9,564
102,102,Vision Appartments,12.939925500000001,77.6163804,Apartments,"Adugodi, Bengaluru",2.808669661203594,2.2691123237716053,,15,914
103,103,Bs Sunshine Apartment,12.94402,77.6102613,Apartments,"Adugodi, Bengaluru",3.1208625881931256,2.770195774037839,,15,876
104,104,Home,12.950492,77.6098684,Apartments,"Adugodi, Bengaluru",3.8360463182433016,3.4861815487610537,,19,1158
105,105,BH24 Blue Hills service apartment,12.9323027,77.6101949,Apartments,"Adugodi, Bengaluru",1.8242677424305438,1.5135972946994183,,7,448
106,106,Sri Sai Krishna PG for Gents,12.94205,77.6078239,Apartments,"Adugodi, Bengaluru",2.8916412877575715,2.622399939169705,,13,759
107,107,Platina heights luxury apartments,12.9427164,77.6168269,Apartments,"Adugodi, Bengaluru",3.118324643145853,2.5819934361202694,,16,951
108,108,S 23 51 Laskar,12.938202699999998,77.60924709999999,Apartments,"Adugodi, Bengaluru",2.4679098559920756,2.168100009644899,,12,709
109,109,SHAHEEN AEJAZ APARTMENTS,12.944473599999998,77.5987875,Apartments,"Adugodi, Bengaluru",3.312943520357305,3.286464225776732,,17,991
110,110,The Mayfair Apartments,12.939376600000001,77.6218297,Apartments,"Adugodi, Bengaluru",2.999661941608827,2.321423512825337,,12,702
111,111,Building No. 2,12.940661,77.6175807,Apartments,"Adugodi, Bengaluru",2.929961039145644,2.3620087845471764,,14,857
112,112,Sree%26 Sonu's,12.9411694,77.5993109,Apartments,"Adugodi, Bengaluru",2.945926958197607,2.950029284250765,,14,855
113,113,"No.605, 11th Cross, 2nd Main, 2nd stage, Koramangala, Rajendra Nagar, Bangalore -560047",12.947502900000002,77.6168991,Apartments,"Adugodi, Bengaluru",3.6303254609729554,3.1135461040170433,,16,978
114,114,Aditya Residency,12.943596800000002,77.604016,Apartments,"Adugodi, Bengaluru",3.092925933085793,2.930514766248315,,14,862
115,115,SG Residency,12.9320507,77.6102724,Apartments,"Adugodi, Bengaluru",1.7976679668929678,1.484412453913875,,7,436
116,116,Insta Guest House - Koramangala,12.9355474,77.61300820000001,Apartments,"Adugodi, Bengaluru",2.2371515323411133,1.7924038740543682,,11,645
117,118,Apartment 6D,12.9366969,77.6163113,Apartments,"Adugodi, Bengaluru",2.4692673135974905,1.9103780982420653,,12,749
118,119,Sri Balaji Residency,12.9415955,77.6197312,Apartments,"Adugodi, Bengaluru",3.115422742359976,2.5014563259321303,,14,865
119,120,Citizen Tower Building,12.927937199999999,77.6099542,Apartments,"Adugodi, Bengaluru",1.3403126028086487,1.085867037506771,,7,423
120,121,%234,12.9417638,77.6204688,Apartments,"Adugodi, Bengaluru",3.16596115644327,2.53693005203718,,15,874
121,122,Pavan Apartments,12.926870599999999,77.6106647,Apartments,"Adugodi, Bengaluru",1.2395406182503914,0.9445712448354016,,6,389
122,123,House,12.9367675,77.6158994,Apartments,"Adugodi, Bengaluru",2.4605586754028823,1.9156686095889806,,12,735
123,124,SpringHeights @ Koramangala,12.9394724,77.6181926,Apartments,"Adugodi, Bengaluru",2.8322527617232374,2.2397182850356248,,14,820
124,125,Building 600,12.943343400000002,77.6198777,Apartments,"Adugodi, Bengaluru",3.299823985846459,2.6951474250686385,,15,892
125,126,Ramya reddy,12.9442235,77.6090593,Apartments,"Adugodi, Bengaluru",3.135662987720127,2.819777698452151,,14,843
126,127,"Opposite sri hari hara pg, Blue colour paint apartment",12.9364531,77.60892890000001,Apartments,"Adugodi, Bengaluru",2.2718187306368853,1.9941745390527057,,15,887
127,128,Sankar Residency,12.9379394,77.619807,Apartments,"Adugodi, Bengaluru",2.753580054806698,2.1067472281281203,,13,772
128,129,NPR apartment,12.927048300000001,77.6086532,Apartments,"Adugodi, Bengaluru",1.2259681730537035,1.0870956387211095,,5,323
129,130,Adarsh Vihar Apartment,12.9304459,77.60108120000001,Apartments,"Adugodi, Bengaluru",1.7652336594978928,1.942624691575076,,12,731
130,131,Iman service apartments,12.935215600000001,77.6199608,Apartments,"Adugodi, Bengaluru",2.4984813919490834,1.8191362961020268,,11,636
131,132,Raj Elite,12.9421528,77.6069531,Apartments,"Adugodi, Bengaluru",2.9049998149644316,2.6630809941049964,,13,770
132,133,Apartment complex,12.9253431,77.6064458,Apartments,"Adugodi, Bengaluru",1.0464271631367763,1.1372376249271183,,6,344
133,134,Vinay paying guest,12.9409359,77.6025867,Apartments,"Adugodi, Bengaluru",2.8277952296209397,2.7367394522200215,,13,784
134,135,Saicharan Apartments,12.935842999999998,77.62671,Apartments,"Adugodi, Bengaluru",2.9977088478112557,2.2052206621872608,,11,645
135,136,Zwolf Residency,12.9431934,77.6198778,Apartments,"Adugodi, Bengaluru",3.284492037583829,2.67878311695547,,15,887
136,137,Sashikala Apartments,12.9410804,77.62603969999999,Apartments,"Adugodi, Bengaluru",3.405744600888421,2.6709189271667033,,14,827
137,138,Vishnupada Apartments,12.9330761,77.6273024,Apartments,"Adugodi, Bengaluru",2.826967544843858,2.0022690588428835,,11,637
138,139,Fortune towers,12.9440926,77.6077521,Apartments,"Adugodi, Bengaluru",3.1188064853666444,2.84201032019965,,13,786
139,140,%23373,12.935044900000001,77.6197947,Apartments,"Adugodi, Bengaluru",2.472903589113465,1.7957928344322265,,11,635
140,141,Home,12.9411733,77.6213028,Apartments,"Adugodi, Bengaluru",3.147345010532817,2.4958846709848204,,14,810
141,142,Stag Aditya Apartments koramangala,12.940163400000001,77.6279,Apartments,"Adugodi, Bengaluru",3.445807615939419,2.6786045475605285,,14,825
142,143,Saniya Residency,12.9281277,77.60664399999999,Apartments,"Adugodi, Bengaluru",1.3508002146730032,1.322029268031066,,7,445
143,144,Alcove Service Apartments,12.9285724,77.6318027,Apartments,"Adugodi, Bengaluru",2.937890859267477,2.069391555195539,,12,745
144,145,D'Habitat Serviced Apartments in Bangalore Koramangala,12.940108500000001,77.62469820000001,Apartments,"Adugodi, Bengaluru",3.2341500942548036,2.5108874975886364,,12,736
145,146,470 Koramangala,12.9340963,77.6197447,Apartments,"Adugodi, Bengaluru",2.380502992252889,1.693282991805478,,10,578
146,147,Monarch Residency,12.929787800000001,77.60806090000001,Apartments,"Adugodi, Bengaluru",1.5281796054914483,1.369614072210286,,7,436
147,148,Padmashree Apartment,12.9368791,77.6243412,Apartments,"Adugodi, Bengaluru",2.9202679849277904,2.1710149278063673,,11,654
148,149,AshaDeepa Apartments,12.942423,77.63033100000001,Apartments,"Adugodi, Bengaluru",3.807074507750038,3.031483807516469,,16,954
149,150,Vishnupriya Arcade,12.936761500000001,77.6204735,Apartments,"Adugodi, Bengaluru",2.6744557516200906,1.9997608134795841,,13,778
150,151,Vrishadri Apartments,12.931699499999999,77.6351936,Apartments,"Adugodi, Bengaluru",3.4288471352718424,2.562431051687911,,14,819
151,152,Bala Apartments,12.940905099999998,77.6262937,Apartments,"Adugodi, Bengaluru",3.4058376299541835,2.665882049120553,,14,818
152,153,Premium Serviced Apartments,12.9387767,77.6237957,Apartments,"Adugodi, Bengaluru",3.0566931806985735,2.3357461189691953,,11,675
153,154,A.M. Apartments,12.9317754,77.5988891,Apartments,"Adugodi, Bengaluru",2.0051894340490644,2.22078415090632,,13,803
154,155,Del Prado Apartment,12.9364957,77.6297788,Apartments,"Adugodi, Bengaluru",3.28254524381413,2.4655227719627164,,13,788
155,156,Ram Reddy Building,12.942657,77.6078494,Apartments,"Adugodi, Bengaluru",2.959126079266069,2.6860397942260423,,12,730
156,157,Apartment-1 BHK,12.9235963,77.6162818,Apartments,"Adugodi, Bengaluru",1.2341805194949813,0.46708202678700694,,4,252
157,158,New Apartments,12.9243385,77.61314990000001,Apartments,"Adugodi, Bengaluru",1.0815536841651632,0.5720619022856713,,5,304
158,159,Apartment,12.928977,77.5977103,Apartments,"Adugodi, Bengaluru",1.8154670716990708,2.1560200142852652,,14,815
159,160,Phoenix Palms Apartments,12.9401825,77.6262074,Apartments,"Adugodi, Bengaluru",3.3353930429754817,2.5902344968853908,,13,799
160,162,Sharu home,12.9359602,77.6232687,Apartments,"Adugodi, Bengaluru",2.768607851883933,2.027507657956511,,10,585
161,163,Raheja Residency,12.9287326,77.6318844,Apartments,"Adugodi, Bengaluru",2.954154526269604,2.0857969957259903,,12,742
162,164,%2369 Apartment,12.92958,77.6075978,Apartments,"Adugodi, Bengaluru",1.5054590834020418,1.3794511736278374,,8,468
163,165,House,12.934912800000001,77.61968309999999,Apartments,"Adugodi, Bengaluru",2.45407000835755,1.7782939005984904,,11,642
164,166,Apartment,12.9166918,77.63741759999999,Apartments,"Adugodi, Bengaluru",3.1960858009473023,2.4398659540113385,,11,652
165,167,R%26J Apartments,12.9454924,77.6277912,Apartments,"Adugodi, Bengaluru",3.9181654216213033,3.1951364771976243,,19,1111
166,168,Euphoria Appartments,12.9403636,77.6284064,Apartments,"Adugodi, Bengaluru",3.4977114203599804,2.7263026409861837,,14,819
167,169,Siri Apartments,12.9363985,77.63089649999999,Apartments,"Adugodi, Bengaluru",3.363666497676108,2.5373855625313935,,13,805
168,170,10%2FA,12.935180599999999,77.6334,Apartments,"Adugodi, Bengaluru",3.4847646694413954,2.6366964226413954,,15,879
169,171,AD Apartments,12.931838,77.6353108,Apartments,"Adugodi, Bengaluru",3.447614854705263,2.5813486969505504,,14,821
170,172,Sunshine Apartment Kormangala,12.928185800000001,77.63833709999999,Apartments,"Adugodi, Bengaluru",3.5606947778080467,2.6951359740398324,,15,875
171,174,LVR Residency Block 2,12.9281313,77.63831809999999,Apartments,"Adugodi, Bengaluru",3.5564953117425717,2.691059078617502,,15,875
172,175,Sobha Morzaria Grandeur,12.9339549,77.601799,Apartments,"Adugodi, Bengaluru",2.0996075759525548,2.1541914192628173,,13,760
173,176,Arpitha Apartment A Block,12.927311099999999,77.638215,Apartments,"Adugodi, Bengaluru",3.512607643800293,2.6495509642240993,,12,745
174,177,Housewise.in - Rental Property Management Company in Bengaluru,12.933300099999999,77.612155,Apartments,"Adugodi, Bengaluru",1.9724053481369612,1.5610829490903635,,11,637
175,178,Baik Apartament,12.9405949,77.6263386,Apartments,"Adugodi, Bengaluru",3.380771221286097,2.637459761559721,,13,794
176,179,Modern Apartment,12.9195353,77.6040765,Apartments,"Adugodi, Bengaluru",0.5705912752846826,1.1945579236390114,,8,481
177,180,St Mary's Executive PG Accommodation,12.936707400000001,77.6085473,Apartments,"Adugodi, Bengaluru",2.298500425312146,2.034894531487006,,14,858
178,181,Goodwill Apartments,12.9357103,77.6233417,Apartments,"Adugodi, Bengaluru",2.7512272627805276,2.006057824817881,,10,575
179,182,Bharathi Accomodation,12.9431106,77.6076911,Apartments,"Adugodi, Bengaluru",3.0096662297579275,2.7392903165502527,,12,740
180,183,The Emerald Suite - A Self-Serviced Residence by Host- Right,12.933057000000002,77.6321801,Apartments,"Adugodi, Bengaluru",3.237634098587847,2.3833855318898336,,13,798
181,184,Anand .m residency,12.9285903,77.6375281,Apartments,"Adugodi, Bengaluru",3.4974139270578615,2.630232293606247,,14,827
182,185,Apartments madiwala,12.9213762,77.6141923,Apartments,"Adugodi, Bengaluru",0.900660118295076,0.22484322915647206,,3,166
183,186,1%2F2 Bedroom for Bachelors,12.9337731,77.6097859,Apartments,"Adugodi, Bengaluru",1.9814359338581002,1.6823272231808626,,8,480
184,188,"Adi Nilaya, bldg %236",12.935269300000002,77.6337671,Apartments,"Adugodi, Bengaluru",3.522332946599376,2.673189229754773,,14,866
185,189,KMT PG For Ladies,12.9366711,77.6086553,Apartments,"Adugodi, Bengaluru",2.294833593026219,2.0270505554254687,,14,864
186,190,BAK Comfort Manner,12.937208300000002,77.6121191,Apartments,"Adugodi, Bengaluru",2.396516805770605,1.9890970776984822,,12,747
187,191,Shanti Rooms %26 PG Accomodation,12.940427699999999,77.602785,Apartments,"Adugodi, Bengaluru",2.7680965398538913,2.677022843348925,,15,873
188,192,Shree Ganesh PG Accomdation for ladies,12.936112800000002,77.6091779,Apartments,"Adugodi, Bengaluru",2.235484798143407,1.9495188872027578,,15,885
189,193,Trinayan residency,12.924169000000001,77.636979,Apartments,"Adugodi, Bengaluru",3.274750582652605,2.426214621244779,,15,897
190,194,Bangalore Apartments,12.9331097,77.587663,Apartments,"Adugodi, Bengaluru",2.903082607642293,3.333452744723601,,18,1095
191,195,54 3bhk,12.932208300000001,77.6354724,Apartments,"Adugodi, Bengaluru",3.483758820377623,2.6181180534116932,,14,829
192,196,Trusted Stay Service Apartments in Bangalore,12.9298227,77.6302364,Apartments,"Adugodi, Bengaluru",2.8615463973693367,1.9986525811274063,,10,598
193,197,Olive Service Apartments Koramangala,12.9280031,77.62851459999999,Apartments,"Adugodi, Bengaluru",2.5965906675333925,1.7309473322529774,,10,625
194,198,Girl's p.g Adugodi.,12.939817800000002,77.6075626,Apartments,"Adugodi, Bengaluru",2.643715681497327,2.396343011622362,,13,795
195,199,Lakshmi Narasimha PG for men.,12.942560400000001,77.6075667,Apartments,"Adugodi, Bengaluru",2.948641232231963,2.684924963572137,,13,764
196,200,"Ruby Corporate Service Apartments, Koramangala",12.939864,77.628854,Apartments,"Adugodi, Bengaluru",3.4862918813547648,2.7057426714525015,,13,803
197,201,Reen Apartments,12.930043300000001,77.607147,Apartments,"Adugodi, Bengaluru",1.558876101849382,1.4498916321629922,,8,469
198,202,Bren Corporation,12.942393699999998,77.6145767,Apartments,"Adugodi, Bengaluru",3.0169361434049233,2.5399358148652067,,16,951
